pathway,phnx_z_score,mean_path_score,sd_path_score,phnx_p_val
nuclear receptor transcription pathway,24.58771049,0.004772119,0.000496872,0
estrogen dependent gene expression,15.49970297,0.007646668,0.000690201,0
intrinsic pathway for apoptosis,14.05011143,0.004608098,0.000515563,0.002
estrogen dependent nuclear events downstream of esr membrane signaling,13.96105102,0.002082432,0.000362589,0.006
sumoylation of intracellular receptors,13.83402634,0.002753755,0.000423435,0
tp53 regulates transcription of several additional cell death genes whose specific roles in p53 dependent apoptosis remain uncertain,13.76859353,0.001305351,0.00026968,0.002
apoptosis,13.25135993,0.01452406,0.000884467,0.022
rna polymerase ii transcription,13.1849332,0.089978061,0.002299235,0
transcriptional regulation of granulopoiesis,13.09209907,0.002723017,0.000398563,0
suppression of apoptosis,10.14671965,0.000566884,0.000189247,0.008
transcriptional regulation of pluripotent stem cells,10.13357966,0.002094054,0.000367927,0
mecp2 regulates transcription factors,9.114419289,0.000365238,0.000136834,0
ngf stimulated transcription,9.107454647,0.003464695,0.000460564,0
sumoylation,8.743928772,0.014721441,0.000938567,0
developmental biology,8.514264726,0.07560576,0.001977344,0
regulation of beta cell development,8.456607492,0.00273204,0.000387263,0
pou5f1 oct4 sox2 nanog activate genes related to proliferation,8.380527153,0.00091975,0.000238368,0
myogenesis,7.771674606,0.002256032,0.000375596,0
tfap2 ap 2 family regulates transcription of growth factors and their receptors,7.760523318,0.001094834,0.000256719,0
runx2 regulates bone development,7.674054764,0.002527948,0.000375843,0
dex h box helicases activate type i ifn and inflammatory cytokines production,7.656044795,0.000561482,0.000178094,0
activation of anterior hox genes in hindbrain development during early embryogenesis,7.347761847,0.005386757,0.000562078,0
interleukin 4 and interleukin 13 signaling,7.232142275,0.009567406,0.000769163,0
nuclear events kinase and transcription factor activation,7.164618128,0.005558928,0.00061529,0
regulation of lipid metabolism by pparalpha,6.85218881,0.009018365,0.000726791,0
circadian clock,6.707012588,0.005928064,0.000567957,0
transcriptional regulation by the ap 2 tfap2 family of transcription factors,6.701135483,0.002963771,0.000428822,0
regulation of gene expression in beta cells,6.664792611,0.001220733,0.000262667,0
germ layer formation at gastrulation,6.60091886,0.001230554,0.000270505,0
interleukin 1 processing,6.376757173,0.000831935,0.00021034,0
transcriptional regulation of white adipocyte differentiation,6.359432075,0.006727872,0.000608626,0
smad2 smad3 smad4 heterotrimer regulates transcription,6.337093442,0.003372886,0.000465157,0
runx3 regulates wnt signaling,6.261371546,0.000749129,0.000213153,0
runx3 regulates yap1 mediated transcription,6.225674895,0.000548735,0.00017214,0
gli proteins bind promoters of hh responsive genes to promote transcription,6.219791412,0.000468572,0.000165615,0
runx1 regulates transcription of genes involved in bcr signaling,6.0343504,0.000472205,0.000171058,0
transcriptional regulation by runx2,6.000103166,0.010149425,0.000751801,0
nr1h2 nr1h3 regulate gene expression to limit cholesterol uptake,5.955504729,0.000467086,0.000183273,0.002
foxo mediated transcription of cell cycle genes,5.944343214,0.001568407,0.000299612,0
sumoylation of transcription factors,5.944056811,0.001688891,0.000328501,0
binding of tcf lef ctnnb1 to target gene promoters,5.827431405,0.00067081,0.000211963,0
runx2 regulates osteoblast differentiation,5.745661292,0.001985715,0.000343629,0
foxo mediated transcription of cell death genes,5.690437628,0.001490042,0.0003006,0
nr1h2 nr1h3 regulate gene expression linked to lipogenesis,5.679891347,0.00075966,0.000218619,0
signaling by nuclear receptors,5.659656719,0.019399441,0.001080555,0
activation of gene expression by srebf srebp,5.652718591,0.003737915,0.000497503,0
