pathway,phnx_z_score,mean_path_score,sd_path_score,phnx_p_val
nuclear receptor transcription pathway,19.35459589,0.016656272,0.004485709,0
estrogen dependent gene expression,15.31477639,0.015061532,0.004561967,0
rna polymerase ii transcription,13.07271413,0.179163626,0.015008367,0
sumoylation of intracellular receptors,11.67775549,0.008775266,0.00347299,0
transcriptional regulation of granulopoiesis,9.688257491,0.0077506,0.003116488,0
regulation of beta cell development,9.667788,0.007625478,0.003222154,0
regulation of gene expression in endocrine committed neurog3 progenitor cells,8.914299809,0.002560394,0.001825532,0
runx2 regulates bone development,8.439668131,0.006348905,0.002854901,0
gli proteins bind promoters of hh responsive genes to promote transcription,8.15403252,0.00251311,0.001717948,0
tp53 regulates transcription of caspase activators and caspases,8.130270324,0.001209358,0.001193809,0
regulation of gene expression in beta cells,8.106610235,0.003939052,0.002292675,0
transcriptional activity of smad2 smad3 smad4 heterotrimer,7.869718832,0.005643543,0.002607141,0
regulation of pten gene transcription,7.716082549,0.009100627,0.003502103,0
transcriptional regulation by runx2,7.645041941,0.017931564,0.005032004,0
alk mutants bind tkis,7.566218018,0.000641713,0.000956926,0
transcriptional regulation of testis differentiation,7.503212462,0.005656354,0.002684676,0
sumoylation,7.280132823,0.027263663,0.005976518,0
runx2 regulates osteoblast differentiation,6.928857727,0.00575108,0.00289911,0
runx1 regulates transcription of genes involved in differentiation of hscs,6.795276668,0.005393985,0.002711143,0
regulation of tp53 activity through association with co factors,6.720402103,0.001362309,0.001421498,0
nuclear events kinase and transcription factor activation,6.658361816,0.010490645,0.003596525,0
ngf stimulated transcription,6.592681637,0.00957932,0.003577435,0
transcriptional regulation of pluripotent stem cells,6.544630589,0.007254627,0.003210106,0
deactivation of the beta catenin transactivating complex,6.488994295,0.005008602,0.002541338,0
activation of puma and translocation to mitochondria,6.386571528,0.001380462,0.001492959,0.002
pten regulation,6.350585047,0.01192981,0.004013345,0
developmental biology,6.350031913,0.188049998,0.014485199,0
yap1 and wwtr1 taz stimulated gene expression,6.1950719,0.00248401,0.001757206,0
runx2 regulates chondrocyte maturation,6.17194173,0.001263728,0.001209425,0.002
tfap2a acts as a transcriptional repressor during retinoic acid induced cell differentiation,6.170760377,0.000627757,0.000813708,0.004
binding of tcf lef ctnnb1 to target gene promoters,6.121728115,0.00192339,0.001576184,0
aryl hydrocarbon receptor signalling,6.064728926,0.00125975,0.001311004,0.002
circadian clock,5.845289308,0.010900302,0.003707087,0
smad2 smad3 smad4 heterotrimer regulates transcription,5.81594559,0.004622366,0.002463521,0
runx1 regulates estrogen receptor mediated transcription,5.649359575,0.00060115,0.000786499,0.006
runx3 regulates wnt signaling,5.581548955,0.002542611,0.001641052,0
transcriptional regulation by runx1,5.382680462,0.023444507,0.005818487,0
notch3 intracellular domain regulates transcription,5.254487826,0.006485034,0.002977491,0
signaling by notch3,5.248234073,0.010759258,0.003806979,0
regulation of gene expression in early pancreatic precursor cells,5.048543878,0.001235647,0.001218421,0.004
regulation of runx2 expression and activity,5.036978639,0.008383553,0.00314307,0
formation of senescence associated heterochromatin foci sahf,4.945231063,0.000582634,0.000815787,0.01
tp53 regulates transcription of several additional cell death genes whose specific roles in p53 dependent apoptosis remain uncertain,4.795514272,0.004358392,0.002301508,0.002
runx1 regulates transcription of genes involved in wnt signaling,4.786850116,0.000614294,0.000925467,0.016
bmal1 clock npas2 activates circadian gene expression,4.728332518,0.006546327,0.003118718,0.002
tp53 regulates transcription of genes involved in cytochrome c release,4.711405193,0.002656426,0.001906477,0.002
transcriptional regulation by the ap 2 tfap2 family of transcription factors,4.645696956,0.010200919,0.003651152,0
polo like kinase mediated events,4.521849893,0.00441194,0.002245163,0
notch4 intracellular domain regulates transcription,4.459332209,0.00328878,0.002149039,0.004
oncogene induced senescence,4.454658483,0.004472094,0.002353113,0
repression of wnt target genes,4.448830054,0.00320025,0.002041239,0.002
signaling by notch1 pest domain mutants in cancer,4.446806545,0.006814537,0.002909579,0.002
activation of anterior hox genes in hindbrain development during early embryogenesis,4.419762583,0.010693288,0.00383371,0
mecp2 regulates transcription factors,4.400480001,0.001322718,0.001357967,0.01
cellular senescence,4.365646548,0.014646276,0.004362467,0
transcription of e2f targets under negative control by p107 rbl1 and p130 rbl2 in complex with hdac1,4.341249217,0.003225579,0.001992933,0.004
downregulation of smad2 3 smad4 transcriptional activity,4.308186055,0.002031471,0.00165682,0
regulation of hmox1 expression and activity,4.286430249,0.000609672,0.000771794,0.016
notch1 intracellular domain regulates transcription,4.278218716,0.006729974,0.00294761,0.002
akt phosphorylates targets in the nucleus,4.229635566,0.001284971,0.001364304,0.012
germ layer formation at gastrulation,4.211396721,0.004743473,0.002825966,0.006
runx1 regulates genes involved in megakaryocyte differentiation and platelet function,4.195526378,0.003714182,0.002057119,0.006
foxo mediated transcription of cell cycle genes,4.192567804,0.003789567,0.002288791,0.004
integration of provirus,3.994193302,0.001158416,0.001084117,0.016
signaling by tgf beta receptor complex,3.94778281,0.015112797,0.004437173,0.004
activated pkn1 stimulates transcription of ar androgen receptor regulated genes klk2 and klk3,3.922808253,0.000599746,0.000815221,0.018
pou5f1 oct4 sox2 nanog activate genes related to proliferation,3.887444443,0.003800139,0.002294381,0.004
activation of bh3 only proteins,3.874833643,0.003810188,0.002190778,0.006
signaling by alk in cancer,3.831705927,0.00626381,0.002945792,0.006
formation of the beta catenin tcf transactivating complex,3.813500764,0.003917866,0.002216341,0.004
tp53 regulates transcription of death receptors and ligands,3.804530996,0.003761079,0.002189324,0.004
pou5f1 oct4 sox2 nanog repress genes related to differentiation,3.767277509,0.003054466,0.001887126,0.014
sumoylation of transcription factors,3.753993089,0.00374299,0.002082116,0.004
signaling by ntrks,3.724440569,0.021851388,0.005298689,0
hedgehog on state,3.690664166,0.00785656,0.003296464,0.006
transcription of e2f targets under negative control by dream complex,3.685042145,0.003772,0.002091967,0.006
early phase of hiv life cycle,3.637814213,0.00121064,0.001175967,0.022
esr mediated signaling,3.600256456,0.029319797,0.005913709,0.002
noncanonical activation of notch3,3.586479828,0.001269939,0.001260468,0.022
nuclear events stimulated by alk signaling in cancer,3.580164874,0.001911643,0.001647206,0.02
signaling by nuclear receptors,3.560919512,0.049026016,0.007885624,0.004
g0 and early g1,3.526068814,0.007766992,0.003229728,0.004
2 ltr circle formation,3.431431282,0.001182854,0.001254793,0.026
interferon alpha beta signaling,3.348989432,0.011551936,0.003898752,0.004
transcriptional regulation of white adipocyte differentiation,3.317454886,0.016531361,0.004557075,0.004
signaling by notch1,3.29270538,0.009609486,0.003487393,0.006
cellular responses to stimuli,3.286634122,0.079106979,0.009357027,0.002
degradation of beta catenin by the destruction complex,3.258102123,0.005122416,0.002567082,0.008
signaling by notch,3.250957402,0.024633842,0.005736629,0.002
interleukin 9 signaling,3.193127823,0.001833313,0.001363521,0.024
intracellular signaling by second messengers,3.191911041,0.053433194,0.008580972,0.004
foxo mediated transcription,3.024128593,0.010318167,0.003828474,0.014
interleukin 21 signaling,3.022355987,0.001872573,0.001446004,0.03
tcf dependent signaling in response to wnt,3.019827476,0.019546088,0.004979261,0.006
endogenous sterols,2.998137859,0.006432679,0.003061764,0.018
constitutive signaling by akt1 e17k in cancer,2.915367919,0.003145691,0.001908575,0.022
hedgehog off state,2.907395897,0.012122953,0.004001645,0.012
transcriptional regulation by mecp2,2.905496803,0.010527569,0.003538318,0.008
transcriptional regulation by runx3,2.900585741,0.010900632,0.003780258,0.014
signaling by tgfb family members,2.877195231,0.022077461,0.005432231,0.012
intrinsic pathway for apoptosis,2.871058979,0.005798393,0.002882498,0.016
regulation of lipid metabolism by pparalpha,2.868081444,0.01958535,0.00525097,0.008
tp53 regulates transcription of cell death genes,2.861320471,0.008253965,0.003159271,0.012
atf6 atf6 alpha activates chaperone genes,2.783792578,0.00062823,0.000848614,0.032
rna polymerase iii transcription termination,2.77897566,0.002027347,0.001698586,0.03
tfap2 ap 2 family regulates transcription of cell cycle factors,2.746570731,0.001258282,0.001357762,0.034
signaling by notch4,2.726805301,0.00645544,0.003015139,0.016
nuclear events mediated by nfe2l2,2.713302597,0.007085435,0.002816968,0.022
activation of the ap 1 family of transcription factors,2.691052144,0.000635588,0.001001231,0.04
loss of mecp2 binding ability to the ncor smrt complex,2.669050288,0.000666174,0.000951654,0.028
regulation of ifna ifnb signaling,2.646336953,0.002383886,0.001665043,0.032
apobec3g mediated resistance to hiv 1 infection,2.64090179,0.001266583,0.001312058,0.046
regulation of gene expression by hypoxia inducible factor,2.625158269,0.002579941,0.001793898,0.04
senescence associated secretory phenotype sasp,2.562986667,0.006336929,0.002787743,0.03
regulation of bach1 activity,2.540888993,0.001268388,0.001177165,0.044
degradation of gli1 by the proteasome,2.540245446,0.002578501,0.00179743,0.028
negative regulation of activity of tfap2 ap 2 family transcription factors,2.53570517,0.001249153,0.001222368,0.042
runx1 regulates transcription of genes involved in differentiation of myeloid cells,2.523065058,0.001274791,0.001260251,0.044
diseases of signal transduction by growth factor receptors and second messengers,2.497655774,0.066553609,0.009569203,0.018
